school_code,propensity_score,in_treatment,in_control
00610310,0.6703871488571167,0,0
00630010,0.1539715826511383,0,0
00650505,0.6156029105186462,0,0
00670305,0.7714998722076416,0,0
00680005,0.04446890950202942,0,0
00710305,0.6995932459831238,0,0
00720050,0.6379287242889404,0,0
00740015,0.07581377029418945,0,0
00770100,0.6036628484725952,1,0
00770505,0.5074197053909302,1,0
00790040,0.5321473479270935,0,0
00790410,0.7997472286224365,0,1
00830010,0.7171236872673035,0,0
00860305,0.7430295348167419,1,0
00870305,0.7974658012390137,0,1
00880405,0.7742594480514526,0,0
00890005,0.1541907787322998,0,0
00910030,0.05981224775314331,0,0
00930010,0.17917373776435852,0,0
00930018,0.34535229206085205,1,0
00930028,0.198330819606781,0,0
00930058,0.2116323709487915,0,0
00940305,0.7341482043266296,0,0
00950045,0.07357773184776306,0,0
00950305,0.4375598430633545,0,0
00950310,0.6339530944824219,0,0
00950315,0.5582543611526489,0,0
00950320,0.5959120392799377,0,0
00950326,0.02891641855239868,0,0
00960405,0.7976104021072388,0,1
00970048,0.5801951289176941,0,0
00970340,0.07693997025489807,0,0
00980005,0.07702180743217468,0,0
01000302,0.7519558072090149,1,0
01000305,0.6009887456893921,0,1
01000310,0.7628676891326904,0,0
01010040,0.6946579217910767,0,1
01010405,0.7673962712287903,0,1
01030405,0.6680387258529663,0,0
01050305,0.12864112854003906,0,0
01070305,0.7139002680778503,0,1
01100030,0.10244554281234741,0,0
01100200,0.11384063959121704,0,0
01110004,0.05638551712036133,0,0
01110505,0.40173569321632385,0,0
01140305,0.45052385330200195,0,0
01140505,0.14396518468856812,0,0
01140900,0.11597821116447449,0,0
01170015,0.018674373626708984,0,0
01170505,0.29385459423065186,0,0
01180005,0.08472365140914917,0,0
01220305,0.7875345349311829,0,1
01250505,0.6033427119255066,0,1
01270005,0.057559072971343994,0,0
01270505,0.23708805441856384,0,0
01280035,0.7386936545372009,0,1
01280050,0.4759499132633209,0,0
01280085,0.6692243814468384,0,0
01280100,0.6746819019317627,0,1
01310410,0.7355303764343262,0,1
01330025,0.07652667164802551,0,0
01330505,0.27178066968917847,0,0
01350005,0.06153455376625061,0,0
01370015,0.13205087184906006,0,0
01370040,0.35038647055625916,1,0
01370060,0.2355562150478363,0,0
01370525,0.10926702618598938,0,0
01380010,0.08545729517936707,0,0
01390305,0.7970947623252869,1,0
01410410,0.6426537036895752,0,0
01410505,0.6214482188224792,0,0
01420305,0.3805628716945648,0,0
01440305,0.7392473816871643,0,0
01450020,0.2367633581161499,0,0
01480005,0.06291025876998901,0,0
01490015,0.3304961323738098,0,1
01490016,0.3230225741863251,0,0
01490017,0.40598902106285095,0,0
01490027,0.4729630649089813,0,0
01490045,0.2603301405906677,0,0
01490050,0.3179379105567932,0,0
01490080,0.2899633049964905,0,0
01490090,0.07209321856498718,0,0
01490537,0.06469663977622986,0,0
01500025,0.068928062915802,0,0
01500505,0.20693182945251465,0,0
01520505,0.19994008541107178,0,0
01530320,0.6964547634124756,1,0
01540005,0.03579637408256531,0,0
01570025,0.3419163227081299,0,1
01570305,0.08523476123809814,0,0
01580305,0.5779754519462585,0,0
01600310,0.43607521057128906,0,1
01600315,0.4887894093990326,0,0
01600320,0.045513272285461426,0,0
01600330,0.39107778668403625,0,1
01600340,0.5334144830703735,0,0
01600345,0.6188830733299255,0,0
01610305,0.7138056755065918,0,1
01620020,0.6893919110298157,1,0
01620505,0.08993196487426758,0,0
01630305,0.42994436621665955,0,1
01630405,0.5159821510314941,0,1
01630420,0.6649230718612671,0,1
01640405,0.860554575920105,0,1
01650003,0.19855615496635437,0,0
01650013,0.39625808596611023,0,0
01650027,0.24751955270767212,0,1
01650047,0.2820284068584442,0,0
