school_code,year,Grade 6 P+A #,Grade 6 P+A %,Grade 6 A #,Grade 6 A %,Grade 6 P #,Grade 6 P %,Grade 6 NI #,Grade 6 NI %,Grade 6 W/F #,Grade 6 W/F %,Grade 6 No. of Students Included,Grade 6 CPI,Grade 6 Median SGP,Grade 6 Included In Median SGP,Grade 7 P+A #,Grade 7 P+A %,Grade 7 A #,Grade 7 A %,Grade 7 P #,Grade 7 P %,Grade 7 NI #,Grade 7 NI %,Grade 7 W/F #,Grade 7 W/F %,Grade 7 No. of Students Included,Grade 7 CPI,Grade 7 Median SGP,Grade 7 Included In Median SGP,Grade 8 P+A #,Grade 8 P+A %,Grade 8 A #,Grade 8 A %,Grade 8 P #,Grade 8 P %,Grade 8 NI #,Grade 8 NI %,Grade 8 W/F #,Grade 8 W/F %,Grade 8 No. of Students Included,Grade 8 CPI,Grade 8 Median SGP,Grade 8 Included In Median SGP,Grade 6 P+A #_is_nan,Grade 6 Median SGP_is_nan,Grade 6 Included In Median SGP_is_nan,Grade 7 P+A #_is_nan,Grade 7 Median SGP_is_nan,Grade 7 Included In Median SGP_is_nan,Grade 8 P+A #_is_nan,Grade 8 Median SGP_is_nan,Grade 8 Included In Median SGP_is_nan
00240025,2007.0,,,,,,,,,,,,,,,97.0,48.0,32.0,16.0,65.0,32.0,64.0,32.0,40.0,20.0,201.0,73.8,,,135.0,58.0,47.0,20.0,88.0,38.0,66.0,28.0,33.0,14.0,234.0,79.5,,,1,1,1,0,1,1,0,1,1
00250315,2007.0,91.0,49.0,28.0,15.0,63.0,34.0,52.0,28.0,45.0,24.0,188.0,73.1,,,73.0,33.0,17.0,8.0,56.0,25.0,102.0,46.0,49.0,22.0,224.0,68.4,,,96.0,47.0,31.0,15.0,65.0,32.0,75.0,37.0,30.0,15.0,201.0,74.9,,,0,1,1,0,1,1,0,1,1
00260305,2007.0,207.0,78.0,99.0,37.0,108.0,41.0,45.0,17.0,14.0,5.0,266.0,89.3,,,201.0,74.0,82.0,30.0,119.0,44.0,58.0,21.0,11.0,4.0,270.0,89.1,,,203.0,70.0,96.0,33.0,107.0,37.0,60.0,21.0,26.0,9.0,289.0,85.5,,,0,1,1,0,1,1,0,1,1
00270305,2007.0,61.0,60.0,17.0,17.0,44.0,43.0,29.0,28.0,13.0,13.0,103.0,80.6,,,53.0,53.0,22.0,22.0,31.0,31.0,33.0,33.0,15.0,15.0,101.0,77.2,,,44.0,42.0,14.0,13.0,30.0,29.0,43.0,41.0,18.0,17.0,105.0,70.7,,,0,1,1,0,1,1,0,1,1
00280005,2007.0,16.0,57.0,7.0,25.0,9.0,32.0,9.0,32.0,3.0,11.0,28.0,82.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
00300305,2007.0,150.0,49.0,44.0,14.0,106.0,35.0,102.0,33.0,54.0,18.0,306.0,73.7,,,112.0,36.0,35.0,11.0,77.0,25.0,107.0,35.0,90.0,29.0,309.0,63.4,,,123.0,41.0,48.0,16.0,75.0,25.0,104.0,35.0,74.0,25.0,301.0,70.2,,,0,1,1,0,1,1,0,1,1
00310305,2007.0,165.0,62.0,53.0,20.0,112.0,42.0,75.0,28.0,28.0,10.0,268.0,83.1,,,158.0,53.0,42.0,14.0,116.0,39.0,101.0,34.0,35.0,12.0,294.0,79.5,,,115.0,42.0,33.0,12.0,82.0,30.0,113.0,41.0,46.0,17.0,274.0,71.8,,,0,1,1,0,1,1,0,1,1
00310310,2007.0,130.0,55.0,45.0,19.0,85.0,36.0,84.0,36.0,20.0,9.0,234.0,80.4,,,143.0,60.0,24.0,10.0,119.0,50.0,74.0,31.0,21.0,9.0,238.0,80.7,,,135.0,60.0,44.0,20.0,91.0,40.0,69.0,31.0,21.0,9.0,225.0,81.2,,,0,1,1,0,1,1,0,1,1
00350004,2007.0,10.0,71.0,3.0,21.0,7.0,50.0,4.0,29.0,0.0,0.0,14.0,91.1,,,9.0,64.0,1.0,7.0,8.0,57.0,4.0,29.0,1.0,7.0,14.0,85.7,,,10.0,77.0,7.0,54.0,3.0,23.0,3.0,23.0,0.0,0.0,13.0,92.3,,,0,1,1,0,1,1,0,1,1
00350012,2007.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
00350013,2007.0,25.0,33.0,9.0,12.0,16.0,21.0,32.0,43.0,18.0,24.0,75.0,62.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
00350020,2007.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
00350074,2007.0,20.0,19.0,5.0,5.0,15.0,14.0,41.0,39.0,44.0,42.0,105.0,50.0,,,9.0,11.0,2.0,2.0,7.0,9.0,23.0,28.0,49.0,60.0,81.0,40.4,,,16.0,13.0,2.0,2.0,14.0,11.0,45.0,34.0,71.0,54.0,132.0,44.1,,,0,1,1,0,1,1,0,1,1
00350080,2007.0,20.0,31.0,3.0,5.0,17.0,26.0,31.0,48.0,14.0,22.0,65.0,68.1,,,14.0,32.0,4.0,9.0,10.0,23.0,22.0,51.0,7.0,16.0,43.0,69.2,,,15.0,41.0,1.0,3.0,14.0,38.0,18.0,49.0,4.0,11.0,37.0,72.3,,,0,1,1,0,1,1,0,1,1
00350096,2007.0,6.0,21.0,0.0,0.0,6.0,21.0,7.0,25.0,15.0,54.0,28.0,46.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
00350116,2007.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
00350179,2007.0,92.0,37.0,38.0,15.0,54.0,22.0,81.0,32.0,77.0,31.0,250.0,64.9,,,38.0,20.0,3.0,2.0,35.0,18.0,67.0,35.0,88.0,46.0,193.0,49.0,,,45.0,25.0,5.0,3.0,40.0,22.0,66.0,35.0,75.0,40.0,186.0,54.2,,,0,1,1,0,1,1,0,1,1
00350182,2007.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
00350183,2007.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
00350190,2007.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
00350229,2007.0,10.0,34.0,0.0,0.0,10.0,34.0,12.0,41.0,7.0,24.0,29.0,65.5,,,6.0,19.0,0.0,0.0,6.0,19.0,16.0,50.0,10.0,31.0,32.0,53.1,,,7.0,26.0,0.0,0.0,7.0,26.0,13.0,48.0,7.0,26.0,27.0,62.0,,,0,1,1,0,1,1,0,1,1
00350240,2007.0,109.0,83.0,56.0,43.0,53.0,40.0,13.0,10.0,9.0,7.0,131.0,92.0,,,17.0,23.0,3.0,4.0,14.0,19.0,30.0,40.0,28.0,37.0,75.0,58.7,,,20.0,32.0,5.0,8.0,15.0,24.0,24.0,39.0,18.0,29.0,62.0,62.1,,,0,1,1,0,1,1,0,1,1
00350255,2007.0,5.0,23.0,1.0,5.0,4.0,18.0,9.0,41.0,8.0,36.0,22.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
00350257,2007.0,3.0,5.0,0.0,0.0,3.0,5.0,16.0,25.0,44.0,70.0,63.0,39.7,,,6.0,9.0,0.0,0.0,6.0,9.0,13.0,20.0,46.0,71.0,65.0,40.4,,,1.0,1.0,0.0,0.0,1.0,1.0,12.0,16.0,63.0,83.0,76.0,31.9,,,0,1,1,0,1,1,0,1,1
00350258,2007.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
00350262,2007.0,36.0,60.0,14.0,23.0,22.0,37.0,14.0,23.0,10.0,17.0,60.0,78.3,,,7.0,17.0,1.0,2.0,6.0,15.0,10.0,24.0,24.0,59.0,41.0,42.1,,,14.0,35.0,2.0,5.0,12.0,30.0,15.0,38.0,11.0,28.0,40.0,67.5,,,0,1,1,0,1,1,0,1,1
00350308,2007.0,15.0,47.0,2.0,6.0,13.0,41.0,7.0,22.0,10.0,31.0,32.0,68.0,,,6.0,35.0,1.0,6.0,5.0,29.0,7.0,41.0,4.0,24.0,17.0,64.7,,,8.0,42.0,0.0,0.0,8.0,42.0,6.0,32.0,5.0,26.0,19.0,67.1,,,0,1,1,0,1,1,0,1,1
00350326,2007.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
00350346,2007.0,13.0,27.0,3.0,6.0,10.0,21.0,25.0,52.0,10.0,21.0,48.0,66.1,,,6.0,15.0,0.0,0.0,6.0,15.0,15.0,38.0,19.0,48.0,40.0,51.9,,,3.0,8.0,0.0,0.0,3.0,8.0,16.0,44.0,17.0,47.0,36.0,49.3,,,0,1,1,0,1,1,0,1,1
00350363,2007.0,4.0,11.0,0.0,0.0,4.0,11.0,8.0,22.0,24.0,67.0,36.0,38.2,,,2.0,8.0,0.0,0.0,2.0,8.0,2.0,8.0,21.0,84.0,25.0,28.0,,,1.0,4.0,0.0,0.0,1.0,4.0,6.0,21.0,21.0,75.0,28.0,33.0,,,0,1,1,0,1,1,0,1,1
00350375,2007.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
00350376,2007.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
00350377,2007.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
00350378,2007.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
00350380,2007.0,22.0,55.0,4.0,10.0,18.0,45.0,10.0,25.0,8.0,20.0,40.0,73.1,,,2.0,12.0,0.0,0.0,2.0,12.0,8.0,47.0,7.0,41.0,17.0,48.5,,,7.0,35.0,1.0,5.0,6.0,30.0,12.0,60.0,1.0,5.0,20.0,70.0,,,0,1,1,0,1,1,0,1,1
00350382,2007.0,11.0,61.0,3.0,17.0,8.0,44.0,4.0,22.0,3.0,17.0,18.0,80.6,,,2.0,14.0,1.0,7.0,1.0,7.0,4.0,29.0,8.0,57.0,14.0,39.3,,,2.0,13.0,0.0,0.0,2.0,13.0,4.0,25.0,10.0,63.0,16.0,42.2,,,0,1,1,0,1,1,0,1,1
00350383,2007.0,23.0,11.0,2.0,1.0,21.0,10.0,66.0,32.0,119.0,57.0,208.0,44.6,,,14.0,7.0,0.0,0.0,14.0,7.0,54.0,27.0,129.0,65.0,197.0,41.0,,,8.0,5.0,0.0,0.0,8.0,5.0,35.0,20.0,128.0,75.0,171.0,38.2,,,0,1,1,0,1,1,0,1,1
00350426,2007.0,7.0,9.0,1.0,1.0,6.0,8.0,31.0,40.0,39.0,51.0,77.0,50.6,,,5.0,6.0,0.0,0.0,5.0,6.0,26.0,31.0,52.0,63.0,83.0,39.2,,,9.0,12.0,0.0,0.0,9.0,12.0,38.0,49.0,30.0,39.0,77.0,50.0,,,0,1,1,0,1,1,0,1,1
00350430,2007.0,29.0,32.0,7.0,8.0,22.0,24.0,35.0,38.0,28.0,30.0,92.0,62.0,,,21.0,23.0,1.0,1.0,20.0,22.0,40.0,43.0,32.0,34.0,93.0,55.1,,,29.0,22.0,5.0,4.0,24.0,18.0,49.0,37.0,53.0,40.0,131.0,53.4,,,0,1,1,0,1,1,0,1,1
