school_code,African American (#),Asian (#),Hispanic (#),White (#),Native American (#),"Native Hawaiian, Pacific Islander (#)","Multi-Race,Non-Hispanic (#)",Females (#),Males (#),FTE Count,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,Total # of Classes,Average Class Size,Number of Students,African American %,Asian %,Hispanic %,White %,Native American %,"Native Hawaiian, Pacific Islander %","Multi-Race, Non-Hispanic %",Principal Total,Principal # Retained,Principal % Retained,Teacher Total,Teacher # Retained,Teacher % Retained,General Education (#),Special Education (#),Career Vocational Technical (#),English Language Learner (#),<26 yrs (# ),26-32 yrs (#),33-40 yrs (#),41-48 yrs (#),49-56 yrs (#),57-64 yrs (#),Over 64 yrs (#),Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %,Churn/Intake Enroll,% Churn,% Intake,Stability Enroll,% Stability,Principal Total_is_nan
00250315,1.8,0.0,0.0,78.2,0.0,0.0,0.0,62.1,17.9,80.0,54.1,98.5,250.0,99.6,13.5,0.0,0.0,0.0,0.0,0.0,0.0,201.0,182.0,165.0,184.0,0.0,0.0,0.0,0.0,0.0,732.0,342.0,21.1,744.0,1.9,2.8,4.2,89.8,0.4,0.0,0.9,1.0,1.0,100.0,51.0,46.0,90.2,52.2,1.9000000000000001,0.0,0.0,6.0,10.8,13.5,15.200000000000001,18.900000000000002,10.6,5.0,50.5,49.5,1.2,18.8,24.6,749.0,4.9,2.8,736.0,96.7,0
00260305,4.0,5.2,1.0,96.9,0.0,0.0,2.0,85.9,23.2,109.1,72.2,99.7,414.0,100.0,17.2,0.0,0.0,0.0,0.0,0.0,0.0,324.0,296.0,318.0,302.0,0.0,0.0,0.0,0.0,0.0,1240.0,639.0,22.4,1259.0,4.2,13.4,3.8,73.7,0.0,0.1,4.8,1.0,1.0,100.0,78.0,63.0,80.8,64.2,7.0,0.0,1.0,13.0,27.6,26.900000000000002,17.7,14.8,7.0,2.0,52.1,47.9,1.9,8.4,6.8,1259.0,2.7,1.7,1240.0,98.8,0
00270305,0.0,0.0,1.0,42.7,0.0,0.0,0.0,35.7,8.0,43.7,26.0,100.0,127.0,96.9,14.2,0.0,0.0,0.0,0.0,0.0,0.0,91.0,87.0,89.0,103.0,0.0,0.0,0.0,0.0,0.0,370.0,171.0,18.5,374.0,1.1,0.3,3.2,93.0,0.0,0.0,2.4,1.0,1.0,100.0,27.0,24.0,88.9,21.0,5.0,0.0,0.0,1.0,12.0,2.0,10.0,12.3,6.4,0.0,49.7,50.3,0.3,16.3,15.0,380.0,2.9,2.4,371.0,99.5,0
00280005,0.0,0.0,0.0,35.2,0.0,0.0,0.0,35.2,0.0,35.2,19.5,100.0,93.0,100.0,11.5,14.0,29.0,32.0,26.0,35.0,35.0,29.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0,54.0,16.2,228.0,0.9,0.9,0.4,92.1,0.0,0.0,5.7,1.0,1.0,100.0,24.0,22.0,91.7,15.700000000000001,3.5,0.0,0.3,0.0,3.6,5.0,9.0,9.8,6.8,1.0,40.4,59.6,0.9,27.2,9.6,230.0,8.7,5.2,223.0,94.2,0
00300305,0.0,1.0,0.0,105.9,0.0,0.0,0.0,84.0,23.0,106.9,69.9,98.6,276.0,100.0,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.0,338.0,305.0,0.0,0.0,0.0,0.0,0.0,924.0,524.0,19.5,927.0,3.2,1.8,8.1,84.5,0.0,0.2,2.2,1.0,1.0,100.0,69.0,61.0,88.4,53.800000000000004,15.1,0.0,1.0,5.0,19.4,16.6,21.0,23.0,21.900000000000002,0.0,50.3,49.7,1.3,18.0,29.3,952.0,6.1,3.9,925.0,96.6,0
00310305,0.0,0.0,0.0,87.0,0.0,0.0,0.0,66.0,21.0,87.0,57.0,100.0,260.0,95.0,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,249.0,270.0,0.0,0.0,0.0,0.0,0.0,747.0,380.0,19.5,757.0,1.5,1.8,3.6,91.3,0.1,0.3,1.5,1.0,1.0,100.0,56.0,48.0,85.7,50.4,6.6000000000000005,0.0,0.0,4.0,16.5,17.0,14.0,20.5,12.0,3.0,47.4,52.6,0.7,18.8,19.2,763.0,4.2,1.8,752.0,97.2,0
00310310,0.0,0.0,2.0,76.2,0.0,0.0,0.0,63.2,15.0,78.2,53.2,98.1,229.0,90.0,12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.0,225.0,228.0,0.0,0.0,0.0,0.0,0.0,675.0,323.0,20.5,677.0,0.6,4.0,2.4,91.9,0.0,0.4,0.7,1.0,1.0,100.0,52.0,44.0,84.6,45.2,8.0,0.0,0.0,1.0,20.6,7.6000000000000005,14.0,25.0,8.0,2.0,47.4,52.6,0.0,18.0,20.5,678.0,100.0,99.0,675.0,0.0,0
00350004,4.0,4.0,1.5,21.6,0.0,0.0,0.0,24.1,7.0,31.1,16.6,100.0,66.0,98.5,8.8,0.0,12.0,16.0,16.0,16.0,16.0,16.0,18.0,17.0,19.0,0.0,0.0,0.0,0.0,0.0,146.0,77.0,15.5,147.0,19.0,10.9,23.8,40.8,0.0,0.0,5.4,1.0,1.0,100.0,17.0,17.0,100.0,12.5,3.5,0.0,0.6,0.0,9.0,4.6000000000000005,8.5,7.0,1.0,1.0,38.1,61.9,10.9,36.7,46.3,149.0,6.7,5.4,146.0,95.2,0
00350012,7.0,1.2,6.8,19.4,0.0,0.0,0.0,25.2,9.2,34.4,23.8,95.8,113.0,96.5,13.4,22.0,27.0,28.0,23.0,25.0,25.0,19.0,55.0,49.0,46.0,0.0,0.0,0.0,0.0,0.0,319.0,91.0,18.3,296.0,35.8,2.4,37.2,20.9,0.0,0.0,3.7,1.0,1.0,100.0,19.0,13.0,68.4,13.1,9.700000000000001,0.0,1.0,1.0,10.0,11.8,4.8,3.0,3.8000000000000003,0.0,49.3,50.7,20.3,20.9,65.2,338.0,12.4,6.8,322.0,91.9,0
00350013,30.0,9.5,5.0,50.5,0.0,1.0,0.0,76.0,20.0,96.0,59.5,100.0,269.0,100.0,12.1,37.0,87.0,85.0,80.0,70.0,78.0,69.0,81.0,61.0,69.0,0.0,0.0,0.0,0.0,0.0,717.0,277.0,16.8,724.0,33.6,11.2,43.2,9.1,0.3,0.0,2.6,1.0,1.0,100.0,57.0,48.0,84.2,38.2,19.3,0.0,2.0,5.0,14.0,20.5,21.5,23.0,12.0,0.0,47.5,52.5,32.3,22.9,84.5,800.0,25.6,20.5,723.0,82.3,0
