school_code,trt,fullmatch,pairmatch
07530025,0,NA,NA
07530030,0,NA,NA
07550505,0,1.34,NA
07600405,0,1.21,NA
07650035,0,NA,NA
07650505,0,NA,NA
07660205,0,NA,NA
07660305,0,1.8,NA
07670008,0,NA,NA
07670040,0,NA,NA
07670415,0,1.37,1.37
07700405,1,1.33,1.33
07730015,0,NA,NA
07730020,0,NA,NA
07730025,0,NA,NA
07730405,0,NA,NA
07740020,0,NA,NA
07750040,1,1.34,1.34
07750045,0,NA,NA
07750310,1,1.35,1.35
07780005,0,NA,NA
07780505,0,NA,NA
